Date,Product ID,Country ID,Sales,Quantity
2012-07-31,147,100,2309.65,7
2013-02-05,24,101,3709.395,9
2013-10-17,43,101,5175.171,9
2013-01-28,46,102,2892.51,5
2013-11-05,148,103,2832.96,8
2013-06-28,91,101,2862.675,5
2011-11-07,26,104,1822.08,4
2012-04-14,149,104,5244.84,6
2014-10-14,150,100,5083.96,5
2012-01-28,151,100,4297.644,13
2011-04-05,152,100,4164.05,5
2012-04-19,153,105,4626.15,5
2011-12-27,93,106,2616.96,4
2012-11-13,30,107,2221.8,7
2013-06-06,154,108,3701.52,12
2014-07-31,126,109,1869.588,4
2014-11-03,155,100,2249.91,9
2014-09-08,8,110,7958.58,14
2014-01-31,34,101,2565.594,9
2014-12-05,156,111,3409.74,6
2012-08-08,157,112,1977.72,4
2011-10-29,158,100,2735.952,6
2011-05-02,21,108,2754.0,6
2013-02-27,2,113,5273.7,10
2014-07-31,42,114,1713.84,4
2014-09-05,159,115,2106.496,8
2011-12-17,160,116,1715.16,2
2011-03-14,8,102,3069.738,6
2013-03-11,47,100,4158.912,8
2012-02-25,29,117,1878.72,4
2011-12-28,41,118,1696.64,5
2012-07-17,161,109,2402.865,9
2012-10-15,77,100,2453.43,5
2011-11-03,162,101,2526.93,5
2011-12-12,163,100,3610.848,12
2011-09-14,45,119,3817.26,6
2011-09-14,164,100,2799.96,4
2014-11-05,165,100,7999.98,4
2014-01-14,33,113,4141.02,13
2011-01-10,43,101,2875.095,5
2013-08-22,42,120,3200.5962,6
2014-11-11,142,117,4518.78,7
2014-09-26,15,117,5667.87,13
2012-12-13,46,113,5785.02,9
2011-09-23,166,102,3018.624,7
2011-09-23,167,100,9449.95,5
2013-03-08,23,109,2092.5,5
2014-08-28,76,108,2761.2,6
2014-05-01,168,117,2174.13,7
2014-12-18,27,121,3473.14,11
2012-06-16,150,100,3050.376,3
2014-09-18,88,122,2108.64,8
2014-07-25,139,100,2399.96,5
2011-12-17,19,116,2197.5,5
2013-12-18,142,123,2582.16,4
2012-05-30,82,117,1526.52,4
2012-03-19,169,100,3149.93,7
2012-05-25,170,117,1745.34,2
2014-08-05,127,101,4191.507,9
2014-08-24,171,100,4367.896,13
2014-03-11,11,124,3063.27,7
2012-11-08,172,100,4643.8,4
2014-08-11,89,102,4473.0,7
2013-08-31,173,102,1502.01,9
2014-01-18,21,108,5049.0,11
2013-12-02,9,100,2104.55,7
2014-12-07,11,125,2188.05,5
2014-12-16,174,117,1920.36,4
2014-11-20,89,114,1704.0,4
2011-11-09,175,126,1858.68,4
2013-06-07,30,108,3298.26,7
2011-11-22,176,127,2443.48,13
2013-03-29,30,119,3808.8,8
2014-08-26,177,120,3427.1496,7
2012-09-20,50,113,3441.69,6
2014-05-16,92,101,2863.35,5
2012-03-16,150,100,6354.95,5
2013-11-24,178,102,1487.4,10
2011-11-09,138,108,3200.04,9
2011-10-28,76,117,2301.0,5
2014-11-19,25,109,5729.346,14
2014-10-28,117,128,5301.24,14
2014-01-17,179,100,5443.96,4
2014-08-18,77,100,4416.174,9
2013-01-29,42,102,3219.9,5
2012-09-18,105,120,2487.8088,6
2013-11-23,1,128,2266.44,4
2012-06-13,81,101,3068.361,9
2013-10-28,16,124,3728.43,9
2013-12-12,88,108,1581.48,6
2012-05-25,43,117,1916.73,3
2013-05-06,180,100,1685.88,6
2013-12-02,64,109,2432.16,5
2014-12-23,42,129,3863.88,6
2013-01-28,29,130,2465.82,7
2012-05-07,177,101,1847.52,2
2013-11-27,16,131,2899.89,7
2012-11-28,21,101,2891.7,7
2012-09-29,181,109,2016.846,9
2013-09-03,104,109,3155.544,7
2013-07-26,42,119,3856.14,6
2014-11-19,48,101,3524.472,6
2012-06-19,44,109,2167.296,4
2012-10-11,89,114,2556.0,6
2011-08-09,116,102,1469.25,5
2011-11-05,93,109,4448.832,8
2014-11-07,182,100,2036.86,7
2013-04-26,69,132,2472.66,9
2013-12-26,126,101,3739.176,8
2013-03-13,22,133,2570.865,11
2013-04-17,183,100,9099.93,7
2012-04-05,90,102,2875.77,9
2012-12-26,73,125,1741.8,4
2013-04-18,36,101,1601.64,5
2011-05-24,102,108,3670.8,7
2012-05-22,184,100,2973.32,7
2013-05-16,83,102,1900.95,5
2011-12-06,185,100,1261.33,7
2011-02-16,21,109,4544.1,11
2013-05-31,70,108,1455.12,4
2013-10-01,84,101,1943.19,6
2011-12-14,186,100,6999.96,4
2013-12-18,187,100,9892.74,13
2013-12-11,85,101,1695.87,5
2014-03-18,188,109,1505.979,6
2014-12-19,48,134,1954.17,3
2011-12-20,189,100,2244.48,7
2013-05-24,31,100,8399.976,4
2011-10-14,190,100,1628.82,9
2014-09-18,191,135,1213.18876,7
2013-11-25,40,117,1590.6,5
2013-11-07,192,108,2330.64,9
2014-07-19,107,120,3278.5848,8
2012-08-16,42,136,3741.5238,7
2013-08-27,193,100,1603.136,4
2012-01-11,13,120,3637.602,10
2013-01-28,194,114,2455.88,7
2012-06-14,195,108,1024.68,8
2011-12-01,196,100,2807.84,8
2013-06-25,197,100,4476.8,4
2012-12-06,198,107,2297.96,14
2013-09-05,82,110,2671.41,7
2014-09-18,89,137,3834.0,6
2014-09-12,199,100,2054.272,8
2012-08-03,2,120,3501.7368,8
2014-12-09,90,101,1725.462,3
2012-10-25,34,108,1583.7,5
2012-07-13,200,100,1931.04,9
2013-08-27,106,101,2760.345,7
2011-05-13,201,124,3078.72,12
2011-11-03,1,133,1983.135,7
2014-08-02,14,109,1112.778,3
2011-09-20,202,102,3616.5,10
2014-01-08,203,100,3059.982,2
2013-03-11,42,101,2892.105,5
2012-02-02,48,102,3263.4,5
2013-09-09,108,100,2396.2656,4
2014-04-09,204,138,3117.088,13
2013-03-02,164,100,4899.93,7
2014-03-19,1,114,1888.7,5
2013-10-02,103,108,3000.78,6
2013-01-12,4,125,3801.63,7
2014-08-20,48,106,5211.12,8
2011-12-17,205,116,1356.03,3
2014-03-14,1,101,3569.643,7
2013-03-26,206,100,1287.45,5
2014-07-09,13,120,2910.0816,8
2013-06-11,78,120,3126.4002,9
2011-08-10,121,113,5276.988,9
2014-03-17,44,136,2645.376,5
2013-01-02,70,101,1637.01,5
2013-11-26,207,100,4499.985,5
2012-10-10,44,120,2645.376,5
2014-10-23,208,100,2399.6,8
2011-06-17,153,108,3238.305,5
2014-04-03,70,113,2291.814,7
2011-05-17,50,114,2124.5,5
2014-02-11,25,139,2757.78,6
2013-10-12,209,125,1549.98,6
2011-09-19,186,100,2624.985,3
2014-07-17,102,126,3146.4,6
2014-11-22,210,109,2456.619,11
2011-05-30,211,109,2228.6355,7
2014-04-01,139,100,2999.95,5
2014-07-17,103,117,4001.04,8
2014-08-29,45,109,4876.875,9
2012-12-26,212,101,1788.822,6
2014-11-11,127,117,3622.29,7
2013-05-01,213,120,1242.585,5
2011-08-16,122,113,4453.05,7
2014-12-03,214,140,2673.36,8
2013-06-25,25,101,2046.195,5
2013-01-21,215,113,5451.3,6
2013-10-22,167,100,4535.976,3
2014-07-12,65,120,1722.2832,4
2013-12-26,216,100,2575.944,7
2014-09-01,217,102,1007.424,2
2011-11-17,218,100,2934.33,7
2011-06-07,7,101,4624.29,9
2011-10-13,96,102,1066.446,6
2013-06-10,219,108,957.6,4
2014-12-13,64,101,4864.32,10
2014-10-13,220,100,2154.9,5
2014-06-10,221,130,1433.8395,3
2011-02-15,59,141,2784.6,14
2013-11-28,11,125,3063.27,7
2014-06-18,222,100,3404.5,5
2013-09-20,125,100,1606.23,9
2011-08-09,89,118,2044.8,6
2011-06-21,223,100,1214.85,3
2012-08-02,113,108,1521.0,4
2012-06-19,4,109,2443.905,5
2012-07-16,224,100,1348.704,6
2013-08-02,225,122,1141.8,10
2014-05-22,98,117,1865.97,9
2011-02-10,41,142,6998.64,11
2013-09-27,110,125,1091.25,3
2014-06-02,74,117,1094.22,3
2013-09-30,226,101,1320.624,4
2011-07-19,43,134,2555.64,4
2014-08-14,111,143,3498.72,8
2013-07-26,139,100,1439.976,4
2014-10-31,81,108,2272.86,6
2013-07-25,48,108,5211.12,8
2014-10-07,142,117,2582.16,4
2014-10-17,43,117,3194.55,5
2013-12-03,27,101,1704.996,4
2014-11-08,68,130,1538.721,6
2013-06-10,26,108,1381.32,3
2011-09-21,11,109,1181.547,3
2011-06-21,30,109,1696.248,4
2014-05-09,227,100,3359.952,6
2014-09-23,152,100,4663.736,7
2014-11-26,228,141,1237.56,4
2012-03-30,50,144,1274.7,2
2011-11-10,131,132,3172.14,9
2014-08-22,229,100,4305.552,6
2012-08-01,8,113,3979.29,7
2014-12-23,230,100,1586.69,7
2014-07-04,231,100,2395.2,6
2014-11-21,171,100,1259.97,3
2013-01-23,232,145,2058.0,4
2011-05-21,233,120,2539.8765,7
2014-09-28,109,113,2898.21,7
2011-11-06,168,109,1320.0075,5
2014-01-28,234,146,2171.16,8
2014-09-13,83,101,4448.223,13
2012-12-01,235,100,1913.4,9
2011-12-22,90,147,2300.616,9
2013-02-05,15,144,2615.94,6
2011-12-28,138,117,1066.68,3
2013-05-28,77,100,3504.9,5
2011-04-27,122,148,2544.6,4
2011-10-06,236,104,3694.68,4
2013-08-24,205,108,2214.849,7
2013-09-21,237,107,1236.48,4
2014-12-17,129,127,1805.9,5
2011-09-19,203,100,3059.982,3
2014-07-04,238,100,1687.8,4
2011-05-21,239,100,2715.93,7
2014-06-03,4,127,1810.3,5
2014-09-12,122,127,2120.5,5
2014-04-17,45,108,1275.0,2
2012-11-21,240,109,1593.648,7
2014-03-06,17,109,1114.236,3
2012-07-23,93,102,2944.08,5
2014-11-07,100,120,3309.2598,7
2014-11-22,241,107,897.48,9
2011-06-11,12,131,2056.05,5
2012-09-14,138,114,2365.6592,10
2011-11-25,242,101,1336.356,7
2012-08-10,87,142,3038.64,8
2013-03-20,66,113,2698.65,9
2013-12-30,39,148,3799.08,12
2012-10-04,243,117,2756.34,6
2012-08-06,244,125,983.88,8
2012-10-02,30,149,1719.807,5
2014-03-26,7,120,1421.541,3
2014-11-21,34,150,1053.6884,5
2011-11-30,141,133,1440.84,8
2011-11-03,30,101,2544.372,6
2012-11-23,245,100,2625.12,8
2012-12-06,246,151,1554.48,8
2013-12-03,89,114,1278.0,3
2012-12-20,48,114,3474.08,8
2012-09-13,45,114,2550.0,6
2013-11-04,247,100,1101.48,4
2013-11-16,150,100,1016.792,1
2013-04-08,248,100,1199.976,3
2012-05-23,249,152,934.248,14
2014-11-18,31,100,10499.97,3
2014-04-14,121,103,3908.88,6
2014-08-29,42,114,2142.3,5
2014-05-16,250,104,1900.584,6
2012-12-13,251,153,1840.68,6
2011-03-31,111,113,2624.04,6
2012-02-04,19,117,3076.5,7
2013-05-29,43,136,3181.7718,6
2012-08-29,252,125,1392.633,11
2011-06-15,253,108,1296.24,8
2014-08-28,254,108,1682.91,3
2011-10-27,89,127,1278.0,3
2014-03-19,42,143,2570.76,4
2014-09-11,255,107,2332.96,5
2012-08-28,19,101,1582.2,6
2014-08-16,256,100,1801.632,6
2013-08-01,257,101,1512.0,6
2013-06-10,258,100,695.7,2
2014-12-24,45,141,2550.0,4
2012-12-15,238,100,2025.36,6
2012-02-23,80,113,2285.7,5
2014-10-11,259,120,1029.2589,9
2014-04-21,40,138,1058.2792,5
2013-06-12,90,117,5751.54,9
2013-09-17,260,102,2442.069,7
2014-09-19,53,104,1190.52,6
2014-11-26,103,109,3150.819,7
2014-09-01,261,102,1599.9,5
2014-06-20,17,108,2063.4,5
2014-10-23,52,154,1269.9,6
2011-08-16,70,117,3274.02,9
2014-09-12,41,127,848.32,2
2012-08-24,262,100,3080.0,7
2014-01-14,36,110,2847.36,8
2014-11-13,76,130,1725.75,5
2013-06-13,35,120,1479.3138,6
2012-12-24,263,100,4899.93,7
2014-09-22,264,155,1282.23,9
2011-01-08,265,156,2478.6,6
2013-10-03,31,100,17499.95,5
2013-07-30,266,142,959.76,3
2012-07-31,267,100,1090.782,7
2014-04-30,61,120,4135.641,10
2011-09-28,15,115,2325.28,8
2014-06-24,73,101,5486.67,14
2011-04-06,56,125,1523.664,8
2014-08-07,50,109,1625.2425,3
2013-11-19,268,100,1319.96,4
2014-02-14,54,109,734.94,4
2014-11-29,269,100,2065.32,12
2012-08-17,270,151,1391.52,8
2012-08-31,271,100,1552.831,7
2012-08-07,2,107,2461.06,7
2014-01-27,171,100,2939.93,7
2011-09-08,203,100,8159.952,8
2012-08-09,272,134,1226.19,7
2013-02-21,273,101,1809.255,5
2012-07-18,274,101,1863.0,8
2011-11-19,47,100,4548.81,7
2014-04-09,96,109,1244.187,7
2012-06-18,275,109,2364.102,4
2013-12-31,82,109,1946.313,6
2014-06-30,276,100,895.92,5
2012-01-16,176,102,2283.714,9
2012-06-12,44,119,2549.76,4
2014-03-17,35,101,3299.562,14
2012-11-13,277,157,2489.4,9
2013-11-27,136,100,3406.664,8
2012-12-06,248,100,999.98,2
2014-05-16,278,109,1189.242,9
2014-12-25,139,100,2879.952,6
2014-12-22,30,115,1269.6,4
2013-09-14,45,158,3499.155,11
2013-01-07,279,101,2993.025,5
2014-06-27,261,109,815.949,3
2012-07-13,280,159,1245.0,4
2014-02-11,281,101,1027.728,8
2014-05-29,114,101,1703.025,5
2014-04-16,96,120,1803.0837,11
2014-11-27,282,109,676.485,5
2011-11-09,283,117,969.36,7
2014-09-18,70,109,1637.01,5
2014-02-24,138,132,1655.96144,7
2013-09-03,24,114,976.96,4
2013-12-23,284,108,731.34,2
